title; rank; date; artist; chart
Bad Day;17;08/10/2021;Justus Bennetts;viral50
Cold Heart - PNAU Remix;18;08/10/2021;Elton John, Dua Lipa;viral50
STEREOTYPE;19;08/10/2021;STAYC;viral50
Close Eyes;20;08/10/2021;DVRST;viral50
breadwinner;21;08/10/2021;Kacey Musgraves;viral50
Monster Mash;22;08/10/2021;"Bobby ""Boris"" Pickett, The Crypt-Kickers";viral50
Chop Chop Slide;23;08/10/2021;Insane Clown Posse;viral50
Gët Busy;24;08/10/2021;Yeat;viral50
Linda;25;08/10/2021;Tokischa, ROSALÍA;viral50
Something About You;26;08/10/2021;Eyedress, Dent May;viral50
Pepas;27;08/10/2021;Farruko;viral50
Somebody's Watching Me;28;08/10/2021;Rockwell;viral50
In My Room;29;08/10/2021;Insane Clown Posse;viral50
I GUESS I'M IN LOVE;30;08/10/2021;Clinton Kane;viral50
From Tha Back;31;08/10/2021;lil.eaarl, Huncho Da Rockstar;viral50
Nostálgico;32;08/10/2021;Rvssian, Rauw Alejandro, Chris Brown;viral50
Shivers;33;08/10/2021;Ed Sheeran;viral50
this is how i learn to say no;34;08/10/2021;EMELINE;viral50
Light My Love;35;08/10/2021;Greta Van Fleet;viral50
LALISA;36;08/10/2021;LISA;viral50
PING PONG;37;08/10/2021;HyunA&DAWN;viral50
edamame (feat. Rich Brian);38;08/10/2021;bbno$;viral50
STREETSX VACATION BIBLE SCHOOL;39;08/10/2021;XXKATUSJINSUX;viral50
HOT DEMON B!TCHES NEAR U ! ! !;40;08/10/2021;CORPSE, Night Lovell;viral50
Feel Like God;41;08/10/2021;gazzzy, framed;viral50
This Is Halloween;42;08/10/2021;Disney Characters;viral50
Drunk And Nasty (feat. Sharc);43;08/10/2021;Pi’erre Bourne;viral50
Como Lo Hice Yo;44;08/10/2021;Matisse, Carin Leon;viral50
16;45;08/10/2021;Baby Keem;viral50
love nwantiti (feat. ElGrande Toto) - North African Remix;46;08/10/2021;CKay, ElGrandeToto;viral50
family ties (with Kendrick Lamar);47;08/10/2021;Baby Keem;viral50
Lay It Down;48;08/10/2021;benu;viral50
Sharing Locations (feat. Lil Baby & Lil Durk);49;08/10/2021;Meek Mill;viral50
Fancy Like;50;08/10/2021;Walker Hayes;viral50
The Red Means I Love You;1;09/10/2021;Madds Buckley;viral50
Está Dañada;2;09/10/2021;Ivan Cornejo;viral50
love nwantiti (ah ah ah);3;09/10/2021;CKay;viral50
love nwantiti (feat. Dj Yo! & AX'EL) - Remix;4;09/10/2021;CKay;viral50
Notion;5;09/10/2021;The Rare Occasions;viral50
Do It To It;6;09/10/2021;ACRAZE, Cherish;viral50
this is what falling in love feels like;7;09/10/2021;JVKE;viral50
MONEY;8;09/10/2021;LISA;viral50
masquerade;9;09/10/2021;Siouxxie;viral50
Two Moons;10;09/10/2021;BoyWithUke;viral50
Have Mercy;11;09/10/2021;Chlöe;viral50
Meet Me At Our Spot;12;09/10/2021;THE ANXIETY, WILLOW, Tyler Cole;viral50
In My Mind;13;09/10/2021;Lyn Lapid;viral50
Silk Chiffon (feat. Phoebe Bridgers);14;09/10/2021;MUNA;viral50
Jugaste y Sufrí;15;09/10/2021;Eslabon Armado, DannyLux;viral50
ONLY;16;09/10/2021;LeeHi;viral50
Life Goes On;17;09/10/2021;Oliver Tree;viral50
Bad Day;18;09/10/2021;Justus Bennetts;viral50
Cold Heart - PNAU Remix;19;09/10/2021;Elton John, Dua Lipa;viral50
Close Eyes;20;09/10/2021;DVRST;viral50
